,Architecture,CPU(s),CPU MHz,CPU max MHz,CPU min MHz,L1d cache,L1i cache,L2 cache,L3 cache,hyper_thread,N,O1,O2,test_number,loss
9,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,25,1,0,2,0.0
10,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,50,1,0,2,0.0
11,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,100,1,0,2,0.0
12,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,150,1,0,2,0.0
13,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,200,1,0,2,0.0
14,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,25,1,0,3,35.286867222248006
15,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,50,1,0,3,22.18675806927091
16,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,100,1,0,3,12.931979447123291
17,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,150,1,0,3,10.61169850637434
18,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,200,1,0,3,8.732053225461044
19,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,300,1,0,3,10.850967883376423
20,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,500,1,0,3,6.903515651252229
21,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,1000,1,0,3,4.7274546234702575
22,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,1200,1,0,3,1.7226484359018481
23,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,25,1,0,4,3.6234052945392476
24,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,50,1,0,4,8.379826963852059
25,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,100,1,0,4,4.181061217600475
26,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,150,1,0,4,4.985120279332121
27,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,200,1,0,4,4.574561613446508
28,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,300,1,0,4,6.086814201270322
29,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,500,1,0,4,4.333593313578665
30,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,1000,1,0,4,2.902859312318638
31,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,1200,1,0,4,0.07100887560076294
0,"0,0",0-3,3600.635,"3600,0000","800,0000",32K,32K,256K,3072K,1,25,1,0,1,8.579613023207852
1,"0,0",0-3,3600.635,"3600,0000","800,0000",32K,32K,256K,3072K,1,50,1,0,1,15.11722182664594
2,"0,0",0-3,3600.635,"3600,0000","800,0000",32K,32K,256K,3072K,1,100,1,0,1,20.641806060950216
3,"0,0",0-3,3600.635,"3600,0000","800,0000",32K,32K,256K,3072K,1,150,1,0,1,9.422632587309826
4,"0,0",0-3,3600.635,"3600,0000","800,0000",32K,32K,256K,3072K,1,200,1,0,1,11.29010875161484
5,"0,0",0-3,3600.635,"3600,0000","800,0000",32K,32K,256K,3072K,1,100,1,0,1,24.6379635840894
6,"0,0",0-3,3600.635,"3600,0000","800,0000",32K,32K,256K,3072K,1,500,1,0,1,13.142154325669274
7,"0,0",0-3,3600.635,"3600,0000","800,0000",32K,32K,256K,3072K,1,1000,1,0,1,12.96609160292628
